/home/mk/anaconda3/envs/pn/bin/python /home/mk/PycharmProjects/pythonProject/train_dep.py
2023-05-08 13:24:51.810442: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library libcudart.so.10.1
[Epoch 001] Train Loss: 0.6198, Val F1: 0.0
[Epoch 002] Train Loss: 0.5160, Val F1: 0.0
[Epoch 003] Train Loss: 0.4964, Val F1: 0.0
[Epoch 004] Train Loss: 0.4885, Val F1: 0.0
[Epoch 005] Train Loss: 0.4874, Val F1: 0.0
[Epoch 006] Train Loss: 0.4858, Val F1: 0.0
[Epoch 007] Train Loss: 0.4841, Val F1: 0.0
[Epoch 008] Train Loss: 0.4814, Val F1: 0.0
[Epoch 009] Train Loss: 0.4820, Val F1: 0.0
[Epoch 010] Train Loss: 0.4802, Val F1: 0.0
[Epoch 011] Train Loss: 0.4812, Val F1: 0.0
[Epoch 012] Train Loss: 0.4793, Val F1: 0.0
[Epoch 013] Train Loss: 0.4788, Val F1: 0.0
[Epoch 014] Train Loss: 0.4800, Val F1: 0.0
[Epoch 015] Train Loss: 0.4787, Val F1: 0.0
[Epoch 016] Train Loss: 0.4775, Val F1: 0.0
[Epoch 017] Train Loss: 0.4795, Val F1: 0.0
[Epoch 018] Train Loss: 0.4755, Val F1: 0.0
[Epoch 019] Train Loss: 0.4738, Val F1: 0.0
[Epoch 020] Train Loss: 0.4677, Val F1: 0.0
[Epoch 021] Train Loss: 0.4683, Val F1: 0.0
[Epoch 022] Train Loss: 0.4643, Val F1: 0.0
[Epoch 023] Train Loss: 0.4655, Val F1: 0.0
[Epoch 024] Train Loss: 0.4617, Val F1: 0.0
[Epoch 025] Train Loss: 0.4607, Val F1: 0.0
[Epoch 026] Train Loss: 0.4619, Val F1: 0.0
[Epoch 027] Train Loss: 0.4607, Val F1: 0.0
[Epoch 028] Train Loss: 0.4594, Val F1: 0.0
[Epoch 029] Train Loss: 0.4587, Val F1: 0.0
[Epoch 030] Train Loss: 0.4588, Val F1: 0.0
[Epoch 031] Train Loss: 0.4550, Val F1: 0.0
[Epoch 032] Train Loss: 0.4538, Val F1: 0.0
[Epoch 033] Train Loss: 0.4530, Val F1: 0.0
[Epoch 034] Train Loss: 0.4513, Val F1: 0.0
[Epoch 035] Train Loss: 0.4515, Val F1: 0.0
[Epoch 036] Train Loss: 0.4509, Val F1: 0.0
[Epoch 037] Train Loss: 0.4501, Val F1: 0.0
[Epoch 038] Train Loss: 0.4487, Val F1: 0.0
[Epoch 039] Train Loss: 0.4495, Val F1: 0.0
[Epoch 040] Train Loss: 0.4482, Val F1: 0.0
[Epoch 041] Train Loss: 0.4479, Val F1: 0.0
[Epoch 042] Train Loss: 0.4462, Val F1: 0.0
[Epoch 043] Train Loss: 0.4459, Val F1: 0.0
[Epoch 044] Train Loss: 0.4449, Val F1: 0.0
[Epoch 045] Train Loss: 0.4428, Val F1: 0.0
[Epoch 046] Train Loss: 0.4441, Val F1: 0.0
[Epoch 047] Train Loss: 0.4424, Val F1: 0.0
[Epoch 048] Train Loss: 0.4436, Val F1: 0.0
[Epoch 049] Train Loss: 0.4407, Val F1: 0.0
[Epoch 050] Train Loss: 0.4404, Val F1: 0.0
[Epoch 051] Train Loss: 0.4392, Val F1: 0.0
[Epoch 052] Train Loss: 0.4395, Val F1: 0.0
[Epoch 053] Train Loss: 0.4378, Val F1: 0.0
[Epoch 054] Train Loss: 0.4368, Val F1: 0.0
[Epoch 055] Train Loss: 0.4365, Val F1: 0.0
[Epoch 056] Train Loss: 0.4354, Val F1: 0.0
[Epoch 057] Train Loss: 0.4356, Val F1: 0.0
[Epoch 058] Train Loss: 0.4345, Val F1: 0.0
[Epoch 059] Train Loss: 0.4373, Val F1: 0.0
[Epoch 060] Train Loss: 0.4359, Val F1: 0.0
[Epoch 061] Train Loss: 0.4333, Val F1: 0.0
[Epoch 062] Train Loss: 0.4345, Val F1: 0.0
[Epoch 063] Train Loss: 0.4333, Val F1: 0.0
[Epoch 064] Train Loss: 0.4330, Val F1: 0.0
[Epoch 065] Train Loss: 0.4326, Val F1: 0.0
[Epoch 066] Train Loss: 0.4318, Val F1: 0.0
[Epoch 067] Train Loss: 0.4301, Val F1: 0.0
[Epoch 068] Train Loss: 0.4298, Val F1: 0.0
[Epoch 069] Train Loss: 0.4310, Val F1: 0.0
[Epoch 070] Train Loss: 0.4293, Val F1: 0.0
[Epoch 071] Train Loss: 0.4282, Val F1: 0.0
[Epoch 072] Train Loss: 0.4279, Val F1: 0.0
[Epoch 073] Train Loss: 0.4291, Val F1: 0.0
[Epoch 074] Train Loss: 0.4293, Val F1: 0.0
[Epoch 075] Train Loss: 0.4295, Val F1: 0.0
[Epoch 076] Train Loss: 0.4293, Val F1: 0.0
[Epoch 077] Train Loss: 0.4260, Val F1: 0.0
[Epoch 078] Train Loss: 0.4269, Val F1: 0.0
[Epoch 079] Train Loss: 0.4282, Val F1: 0.0
[Epoch 080] Train Loss: 0.4286, Val F1: 0.0
[Epoch 081] Train Loss: 0.4260, Val F1: 0.0
[Epoch 082] Train Loss: 0.4265, Val F1: 0.0
[Epoch 083] Train Loss: 0.4262, Val F1: 0.0
[Epoch 084] Train Loss: 0.4267, Val F1: 0.0
[Epoch 085] Train Loss: 0.4260, Val F1: 0.0
[Epoch 086] Train Loss: 0.4262, Val F1: 0.0
[Epoch 087] Train Loss: 0.4274, Val F1: 0.0
[Epoch 088] Train Loss: 0.4272, Val F1: 0.0
[Epoch 089] Train Loss: 0.4253, Val F1: 0.0
[Epoch 090] Train Loss: 0.4232, Val F1: 0.0
[Epoch 091] Train Loss: 0.4261, Val F1: 0.0
[Epoch 092] Train Loss: 0.4255, Val F1: 0.0
[Epoch 093] Train Loss: 0.4260, Val F1: 0.0
[Epoch 094] Train Loss: 0.4248, Val F1: 0.0
[Epoch 095] Train Loss: 0.4228, Val F1: 0.0
[Epoch 096] Train Loss: 0.4238, Val F1: 0.0
[Epoch 097] Train Loss: 0.4255, Val F1: 0.0
[Epoch 098] Train Loss: 0.4245, Val F1: 0.0
[Epoch 099] Train Loss: 0.4245, Val F1: 0.0
[Epoch 100] Train Loss: 0.4241, Val F1: 0.0
[Epoch 101] Train Loss: 0.4234, Val F1: 0.0
[Epoch 102] Train Loss: 0.4251, Val F1: 0.0
[Epoch 103] Train Loss: 0.4240, Val F1: 0.0
[Epoch 104] Train Loss: 0.4239, Val F1: 0.0
[Epoch 105] Train Loss: 0.4228, Val F1: 0.0
[Epoch 106] Train Loss: 0.4222, Val F1: 0.0
[Epoch 107] Train Loss: 0.4229, Val F1: 0.0
[Epoch 108] Train Loss: 0.4228, Val F1: 0.0
[Epoch 109] Train Loss: 0.4210, Val F1: 0.0
[Epoch 110] Train Loss: 0.4235, Val F1: 0.0
[Epoch 111] Train Loss: 0.4234, Val F1: 0.0
[Epoch 112] Train Loss: 0.4208, Val F1: 0.0
[Epoch 113] Train Loss: 0.4234, Val F1: 0.0
[Epoch 114] Train Loss: 0.4211, Val F1: 0.0
[Epoch 115] Train Loss: 0.4214, Val F1: 0.0
[Epoch 116] Train Loss: 0.4248, Val F1: 0.0
[Epoch 117] Train Loss: 0.4217, Val F1: 0.0
[Epoch 118] Train Loss: 0.4221, Val F1: 0.0
[Epoch 119] Train Loss: 0.4217, Val F1: 0.0
[Epoch 120] Train Loss: 0.4221, Val F1: 0.0
[Epoch 121] Train Loss: 0.4209, Val F1: 0.0
[Epoch 122] Train Loss: 0.4197, Val F1: 0.0
[Epoch 123] Train Loss: 0.4202, Val F1: 0.0
[Epoch 124] Train Loss: 0.4195, Val F1: 0.0
[Epoch 125] Train Loss: 0.4204, Val F1: 0.0
[Epoch 126] Train Loss: 0.4180, Val F1: 0.0
[Epoch 127] Train Loss: 0.4203, Val F1: 0.0
[Epoch 128] Train Loss: 0.4200, Val F1: 0.0
[Epoch 129] Train Loss: 0.4191, Val F1: 0.0
[Epoch 130] Train Loss: 0.4184, Val F1: 0.0
[Epoch 131] Train Loss: 0.4172, Val F1: 0.0
[Epoch 132] Train Loss: 0.4162, Val F1: 0.0
[Epoch 133] Train Loss: 0.4195, Val F1: 0.0
[Epoch 134] Train Loss: 0.4187, Val F1: 0.0
[Epoch 135] Train Loss: 0.4189, Val F1: 0.0
[Epoch 136] Train Loss: 0.4169, Val F1: 0.0
[Epoch 137] Train Loss: 0.4188, Val F1: 0.0
[Epoch 138] Train Loss: 0.4208, Val F1: 0.0
[Epoch 139] Train Loss: 0.4171, Val F1: 0.0
[Epoch 140] Train Loss: 0.4184, Val F1: 0.0
[Epoch 141] Train Loss: 0.4185, Val F1: 0.0
[Epoch 142] Train Loss: 0.4163, Val F1: 0.0
[Epoch 143] Train Loss: 0.4180, Val F1: 0.0
[Epoch 144] Train Loss: 0.4185, Val F1: 0.0
[Epoch 145] Train Loss: 0.4178, Val F1: 0.0
[Epoch 146] Train Loss: 0.4167, Val F1: 0.0
[Epoch 147] Train Loss: 0.4190, Val F1: 0.0
[Epoch 148] Train Loss: 0.4184, Val F1: 0.0
[Epoch 149] Train Loss: 0.4155, Val F1: 0.0
[Epoch 150] Train Loss: 0.4176, Val F1: 0.0
[Epoch 151] Train Loss: 0.4174, Val F1: 0.0
[Epoch 152] Train Loss: 0.4157, Val F1: 0.0
[Epoch 153] Train Loss: 0.4164, Val F1: 0.0
[Epoch 154] Train Loss: 0.4166, Val F1: 0.0
[Epoch 155] Train Loss: 0.4180, Val F1: 0.0
[Epoch 156] Train Loss: 0.4162, Val F1: 0.0
[Epoch 157] Train Loss: 0.4171, Val F1: 0.0
[Epoch 158] Train Loss: 0.4166, Val F1: 0.0
[Epoch 159] Train Loss: 0.4151, Val F1: 0.0
[Epoch 160] Train Loss: 0.4161, Val F1: 0.0
[Epoch 161] Train Loss: 0.4153, Val F1: 0.0
[Epoch 162] Train Loss: 0.4171, Val F1: 0.0
[Epoch 163] Train Loss: 0.4154, Val F1: 0.0
[Epoch 164] Train Loss: 0.4159, Val F1: 0.0
[Epoch 165] Train Loss: 0.4158, Val F1: 0.0
[Epoch 166] Train Loss: 0.4164, Val F1: 0.0
[Epoch 167] Train Loss: 0.4152, Val F1: 0.0
[Epoch 168] Train Loss: 0.4174, Val F1: 0.0
[Epoch 169] Train Loss: 0.4168, Val F1: 0.0
[Epoch 170] Train Loss: 0.4157, Val F1: 0.0
[Epoch 171] Train Loss: 0.4142, Val F1: 0.0
[Epoch 172] Train Loss: 0.4148, Val F1: 0.0
[Epoch 173] Train Loss: 0.4134, Val F1: 0.0
[Epoch 174] Train Loss: 0.4153, Val F1: 0.0
[Epoch 175] Train Loss: 0.4156, Val F1: 0.0
[Epoch 176] Train Loss: 0.4142, Val F1: 0.0
[Epoch 177] Train Loss: 0.4166, Val F1: 0.0
[Epoch 178] Train Loss: 0.4148, Val F1: 0.0
[Epoch 179] Train Loss: 0.4134, Val F1: 0.0
[Epoch 180] Train Loss: 0.4146, Val F1: 0.0
[Epoch 181] Train Loss: 0.4149, Val F1: 0.0
[Epoch 182] Train Loss: 0.4152, Val F1: 0.0
[Epoch 183] Train Loss: 0.4132, Val F1: 0.0
[Epoch 184] Train Loss: 0.4166, Val F1: 0.0
[Epoch 185] Train Loss: 0.4116, Val F1: 0.0
[Epoch 186] Train Loss: 0.4132, Val F1: 0.0
[Epoch 187] Train Loss: 0.4150, Val F1: 0.0
[Epoch 188] Train Loss: 0.4131, Val F1: 0.0
[Epoch 189] Train Loss: 0.4139, Val F1: 0.0
[Epoch 190] Train Loss: 0.4150, Val F1: 0.0
[Epoch 191] Train Loss: 0.4134, Val F1: 0.0
[Epoch 192] Train Loss: 0.4114, Val F1: 0.0
[Epoch 193] Train Loss: 0.4130, Val F1: 0.0
[Epoch 194] Train Loss: 0.4146, Val F1: 0.0
[Epoch 195] Train Loss: 0.4132, Val F1: 0.0
[Epoch 196] Train Loss: 0.4131, Val F1: 0.0
[Epoch 197] Train Loss: 0.4153, Val F1: 0.0
[Epoch 198] Train Loss: 0.4128, Val F1: 0.0
[Epoch 199] Train Loss: 0.4121, Val F1: 0.0
[Epoch 200] Train Loss: 0.4148, Val F1: 0.0
[Epoch 201] Train Loss: 0.4134, Val F1: 0.0
[Epoch 202] Train Loss: 0.4139, Val F1: 0.0
[Epoch 203] Train Loss: 0.4150, Val F1: 0.0
[Epoch 204] Train Loss: 0.4121, Val F1: 0.0
[Epoch 205] Train Loss: 0.4128, Val F1: 0.0
[Epoch 206] Train Loss: 0.4128, Val F1: 0.0
[Epoch 207] Train Loss: 0.4152, Val F1: 0.0
[Epoch 208] Train Loss: 0.4120, Val F1: 0.0
[Epoch 209] Train Loss: 0.4128, Val F1: 0.0
[Epoch 210] Train Loss: 0.4119, Val F1: 0.0
[Epoch 211] Train Loss: 0.4122, Val F1: 0.0
[Epoch 212] Train Loss: 0.4129, Val F1: 0.0
[Epoch 213] Train Loss: 0.4124, Val F1: 0.0
[Epoch 214] Train Loss: 0.4114, Val F1: 0.0
[Epoch 215] Train Loss: 0.4136, Val F1: 0.0
[Epoch 216] Train Loss: 0.4129, Val F1: 0.0
[Epoch 217] Train Loss: 0.4139, Val F1: 0.0
[Epoch 218] Train Loss: 0.4127, Val F1: 0.0
[Epoch 219] Train Loss: 0.4120, Val F1: 0.0
[Epoch 220] Train Loss: 0.4137, Val F1: 0.0
[Epoch 221] Train Loss: 0.4106, Val F1: 0.0
[Epoch 222] Train Loss: 0.4126, Val F1: 0.0
[Epoch 223] Train Loss: 0.4106, Val F1: 0.0
[Epoch 224] Train Loss: 0.4120, Val F1: 0.0
[Epoch 225] Train Loss: 0.4116, Val F1: 0.0
[Epoch 226] Train Loss: 0.4121, Val F1: 0.0
[Epoch 227] Train Loss: 0.4103, Val F1: 0.0
[Epoch 228] Train Loss: 0.4098, Val F1: 0.0
[Epoch 229] Train Loss: 0.4094, Val F1: 0.0
[Epoch 230] Train Loss: 0.4113, Val F1: 0.0
[Epoch 231] Train Loss: 0.4112, Val F1: 0.0
[Epoch 232] Train Loss: 0.4117, Val F1: 0.0
[Epoch 233] Train Loss: 0.4134, Val F1: 0.0
[Epoch 234] Train Loss: 0.4113, Val F1: 0.0
[Epoch 235] Train Loss: 0.4116, Val F1: 0.0
[Epoch 236] Train Loss: 0.4113, Val F1: 0.0
[Epoch 237] Train Loss: 0.4108, Val F1: 0.0
[Epoch 238] Train Loss: 0.4106, Val F1: 0.0
[Epoch 239] Train Loss: 0.4106, Val F1: 0.0
[Epoch 240] Train Loss: 0.4121, Val F1: 0.0
[Epoch 241] Train Loss: 0.4101, Val F1: 0.0
[Epoch 242] Train Loss: 0.4093, Val F1: 0.0
[Epoch 243] Train Loss: 0.4095, Val F1: 0.0
[Epoch 244] Train Loss: 0.4098, Val F1: 0.0
[Epoch 245] Train Loss: 0.4100, Val F1: 0.0
[Epoch 246] Train Loss: 0.4102, Val F1: 0.0
[Epoch 247] Train Loss: 0.4108, Val F1: 0.0
[Epoch 248] Train Loss: 0.4098, Val F1: 0.0
[Epoch 249] Train Loss: 0.4089, Val F1: 0.0
[Epoch 250] Train Loss: 0.4098, Val F1: 0.0
[Epoch 251] Train Loss: 0.4090, Val F1: 0.0
[Epoch 252] Train Loss: 0.4109, Val F1: 0.0
[Epoch 253] Train Loss: 0.4084, Val F1: 0.0
[Epoch 254] Train Loss: 0.4089, Val F1: 0.0
[Epoch 255] Train Loss: 0.4112, Val F1: 0.0
[Epoch 256] Train Loss: 0.4101, Val F1: 0.0
[Epoch 257] Train Loss: 0.4094, Val F1: 0.0
[Epoch 258] Train Loss: 0.4100, Val F1: 0.0
[Epoch 259] Train Loss: 0.4078, Val F1: 0.0
[Epoch 260] Train Loss: 0.4082, Val F1: 0.0
[Epoch 261] Train Loss: 0.4081, Val F1: 0.0
[Epoch 262] Train Loss: 0.4084, Val F1: 0.0
[Epoch 263] Train Loss: 0.4081, Val F1: 0.0
[Epoch 264] Train Loss: 0.4096, Val F1: 0.0
[Epoch 265] Train Loss: 0.4100, Val F1: 0.0
[Epoch 266] Train Loss: 0.4090, Val F1: 0.0
[Epoch 267] Train Loss: 0.4080, Val F1: 0.0
[Epoch 268] Train Loss: 0.4082, Val F1: 0.0
[Epoch 269] Train Loss: 0.4098, Val F1: 0.0
[Epoch 270] Train Loss: 0.4092, Val F1: 0.0
[Epoch 271] Train Loss: 0.4087, Val F1: 0.0
[Epoch 272] Train Loss: 0.4091, Val F1: 0.0
[Epoch 273] Train Loss: 0.4095, Val F1: 0.0
[Epoch 274] Train Loss: 0.4070, Val F1: 0.0
[Epoch 275] Train Loss: 0.4062, Val F1: 0.0
[Epoch 276] Train Loss: 0.4086, Val F1: 0.0
[Epoch 277] Train Loss: 0.4076, Val F1: 0.0
[Epoch 278] Train Loss: 0.4094, Val F1: 0.0
[Epoch 279] Train Loss: 0.4087, Val F1: 0.0
[Epoch 280] Train Loss: 0.4092, Val F1: 0.0
[Epoch 281] Train Loss: 0.4092, Val F1: 0.0
[Epoch 282] Train Loss: 0.4090, Val F1: 0.0
[Epoch 283] Train Loss: 0.4074, Val F1: 0.0
[Epoch 284] Train Loss: 0.4086, Val F1: 0.0
[Epoch 285] Train Loss: 0.4085, Val F1: 0.0
[Epoch 286] Train Loss: 0.4063, Val F1: 0.0
[Epoch 287] Train Loss: 0.4065, Val F1: 0.0
[Epoch 288] Train Loss: 0.4077, Val F1: 0.0
[Epoch 289] Train Loss: 0.4087, Val F1: 0.0
[Epoch 290] Train Loss: 0.4080, Val F1: 0.0
[Epoch 291] Train Loss: 0.4068, Val F1: 0.0
[Epoch 292] Train Loss: 0.4072, Val F1: 0.0
[Epoch 293] Train Loss: 0.4075, Val F1: 0.0
[Epoch 294] Train Loss: 0.4082, Val F1: 0.0
[Epoch 295] Train Loss: 0.4090, Val F1: 0.0
[Epoch 296] Train Loss: 0.4065, Val F1: 0.0
[Epoch 297] Train Loss: 0.4080, Val F1: 0.0
[Epoch 298] Train Loss: 0.4073, Val F1: 0.0
[Epoch 299] Train Loss: 0.4076, Val F1: 0.0
[Epoch 300] Train Loss: 0.4069, Val F1: 0.0
[Epoch 301] Train Loss: 0.4086, Val F1: 0.0
[Epoch 302] Train Loss: 0.4069, Val F1: 0.0
[Epoch 303] Train Loss: 0.4073, Val F1: 0.0
[Epoch 304] Train Loss: 0.4083, Val F1: 0.0
[Epoch 305] Train Loss: 0.4065, Val F1: 0.0
[Epoch 306] Train Loss: 0.4071, Val F1: 0.0
[Epoch 307] Train Loss: 0.4080, Val F1: 0.0
[Epoch 308] Train Loss: 0.4060, Val F1: 0.0
[Epoch 309] Train Loss: 0.4068, Val F1: 0.0
[Epoch 310] Train Loss: 0.4081, Val F1: 0.0
[Epoch 311] Train Loss: 0.4063, Val F1: 0.0
[Epoch 312] Train Loss: 0.4079, Val F1: 0.0
[Epoch 313] Train Loss: 0.4074, Val F1: 0.0
[Epoch 314] Train Loss: 0.4079, Val F1: 0.0
[Epoch 315] Train Loss: 0.4067, Val F1: 0.0
[Epoch 316] Train Loss: 0.4079, Val F1: 0.0
[Epoch 317] Train Loss: 0.4089, Val F1: 0.0
[Epoch 318] Train Loss: 0.4055, Val F1: 0.0
[Epoch 319] Train Loss: 0.4093, Val F1: 0.0
[Epoch 320] Train Loss: 0.4054, Val F1: 0.0
[Epoch 321] Train Loss: 0.4072, Val F1: 0.0
[Epoch 322] Train Loss: 0.4079, Val F1: 0.0
[Epoch 323] Train Loss: 0.4077, Val F1: 0.0
[Epoch 324] Train Loss: 0.4076, Val F1: 0.0
[Epoch 325] Train Loss: 0.4066, Val F1: 0.0
[Epoch 326] Train Loss: 0.4071, Val F1: 0.0
[Epoch 327] Train Loss: 0.4074, Val F1: 0.0
[Epoch 328] Train Loss: 0.4085, Val F1: 0.0
[Epoch 329] Train Loss: 0.4075, Val F1: 0.0
[Epoch 330] Train Loss: 0.4091, Val F1: 0.0
[Epoch 331] Train Loss: 0.4069, Val F1: 0.0
[Epoch 332] Train Loss: 0.4049, Val F1: 0.0
[Epoch 333] Train Loss: 0.4063, Val F1: 0.0
[Epoch 334] Train Loss: 0.4073, Val F1: 0.0
[Epoch 335] Train Loss: 0.4068, Val F1: 0.0
[Epoch 336] Train Loss: 0.4054, Val F1: 0.0
[Epoch 337] Train Loss: 0.4089, Val F1: 0.0
[Epoch 338] Train Loss: 0.4070, Val F1: 0.0
[Epoch 339] Train Loss: 0.4081, Val F1: 0.0
[Epoch 340] Train Loss: 0.4083, Val F1: 0.0
[Epoch 341] Train Loss: 0.4086, Val F1: 0.0
[Epoch 342] Train Loss: 0.4083, Val F1: 0.0
[Epoch 343] Train Loss: 0.4052, Val F1: 0.0
[Epoch 344] Train Loss: 0.4052, Val F1: 0.0
[Epoch 345] Train Loss: 0.4052, Val F1: 0.0
[Epoch 346] Train Loss: 0.4073, Val F1: 0.0
[Epoch 347] Train Loss: 0.4067, Val F1: 0.0
[Epoch 348] Train Loss: 0.4067, Val F1: 0.0
[Epoch 349] Train Loss: 0.4082, Val F1: 0.0
[Epoch 350] Train Loss: 0.4068, Val F1: 0.0
[Epoch 351] Train Loss: 0.4076, Val F1: 0.0
[Epoch 352] Train Loss: 0.4058, Val F1: 0.0
[Epoch 353] Train Loss: 0.4061, Val F1: 0.0
[Epoch 354] Train Loss: 0.4061, Val F1: 0.0
[Epoch 355] Train Loss: 0.4056, Val F1: 0.0
[Epoch 356] Train Loss: 0.4065, Val F1: 0.0
[Epoch 357] Train Loss: 0.4077, Val F1: 0.0
[Epoch 358] Train Loss: 0.4072, Val F1: 0.0
[Epoch 359] Train Loss: 0.4070, Val F1: 0.0
[Epoch 360] Train Loss: 0.4050, Val F1: 0.0
[Epoch 361] Train Loss: 0.4052, Val F1: 0.0
[Epoch 362] Train Loss: 0.4064, Val F1: 0.0
[Epoch 363] Train Loss: 0.4055, Val F1: 0.0
[Epoch 364] Train Loss: 0.4066, Val F1: 0.0
[Epoch 365] Train Loss: 0.4051, Val F1: 0.0
[Epoch 366] Train Loss: 0.4051, Val F1: 0.0
[Epoch 367] Train Loss: 0.4076, Val F1: 0.0
[Epoch 368] Train Loss: 0.4044, Val F1: 0.0
[Epoch 369] Train Loss: 0.4062, Val F1: 0.0
[Epoch 370] Train Loss: 0.4065, Val F1: 0.0
[Epoch 371] Train Loss: 0.4061, Val F1: 0.0
[Epoch 372] Train Loss: 0.4067, Val F1: 0.0
[Epoch 373] Train Loss: 0.4044, Val F1: 0.0
[Epoch 374] Train Loss: 0.4072, Val F1: 0.0
[Epoch 375] Train Loss: 0.4047, Val F1: 0.0
[Epoch 376] Train Loss: 0.4051, Val F1: 0.0
[Epoch 377] Train Loss: 0.4066, Val F1: 0.0
[Epoch 378] Train Loss: 0.4048, Val F1: 0.0
